patient	LMPP	MEP	HSC	ProgDC	Mono	GMP	cDC2	pDC
15-00610	0.162247211942144	0.0983175649853491	0.111502558715911	0.03834732354101	0.221031998427059	0.325345590087657	0	0.04320775230087
15-00614	0.248236988952391	0.246054750918625	0.387120802277388	0.0705204297093125	0.0128960817442307	0.027281166940834	0	0.0078897794572186
15-00615	0.440987207059031	0.133470115612671	0.00407032813883416	0	0.0141889486910305	0.287520886900474	0.115675872104102	0.00408664149385796
15-00616	0.0831168360786317	0.34302914488552	0.18351624883864	0.0602857527746881	0.157602922962997	0.166433622139464	0	0.00601547232005993
15-00633	0.0671154070062	0.0792462097122422	0.0456425152489103	0.0264385725087725	0.526006608979428	0	0.255550686544447	0
15-00650	0.0958160175850984	0.108700802022374	0.226642899256439	0.0993978611991427	0.389773137906585	0.0796692820303607	0	0
15-00653	0.398521477539641	0.0285374382082338	0.120283422943205	0.0278858125237539	0.174789115418191	0.225126420048416	0	0.0248563133185591
15-00670	0.551456235260015	0.048817500175705	0.36468981997171	0.00632243077863627	0.0107242660891797	0.0105536592924393	0	0.00743608843231485
15-00680	0.361520218895326	0.0805260151046896	0	0	0.0846902592021817	0.12644917945034	0.346814327347463	0
15-00688	0.276814828322019	0.166321942132036	0.226085474253111	0.101966002857776	0.0772286506206837	0.102950677585527	0.0386621718402579	0.00997025238859007
15-00692	0.168112289774846	0.651398377002773	0.128674001418543	0.0162872643185586	0.0096529438979112	0.0200897859291317	5.75652062776204e-05	0.00572777245195975
15-00693	0.165180815350798	0.0324696246582164	0.145614227260468	0	0.1641602755737	0	0.45578071663033	0.0367943405264879
15-00701	0.281177909564527	0.0680450683994874	0.0575373169286413	0	0.0671292613037049	0.0382293036396225	0.467285175440848	0.0205959647231687
15-00702	0.152172976974114	0.0537540397633926	0.340684058419959	0.0393876781755668	0.193428933911255	0.192877149563736	0.0104893986196078	0.0172057645723691
15-00717	0.121035528461284	0.0731092727561267	0	0	0.366134227903813	0	0.439720970878776	0
